         208441 function calls (201061 primitive calls) in 0.386 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(any)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(concatenate)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(copyto)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(dot)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(empty_like)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(inv)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(linspace)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(lstsq)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(ndim)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(outer)
        1    0.000    0.000    0.001    0.001 <__array_function__ internals>:177(polyfit)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(polyval)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(result_type)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(vander)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(zeros_like)
      626    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:100(acquire)
    298/1    0.002    0.000    0.386    0.386 <frozen importlib._bootstrap>:1022(_find_and_load)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1038(_gcd_import)
   247/55    0.001    0.000    0.280    0.005 <frozen importlib._bootstrap>:1053(_handle_fromlist)
      626    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:125(release)
      298    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
      298    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:169(__enter__)
      298    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(__exit__)
      626    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
      298    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:198(cb)
      328    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
    384/1    0.000    0.000    0.385    0.385 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
     3163    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:254(_requires_builtin_wrapper)
      298    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
      496    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:391(cached)
      675    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:404(parent)
      275    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(has_location)
        6    0.000    0.000    0.040    0.007 <frozen importlib._bootstrap>:421(spec_from_loader)
      227    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      275    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
  275/271    0.001    0.000    0.053    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
